control_id	surface	type	ru_label	en_label	tooltip_or_name	icon	handler	action	enabled_condition	keyboard	functional	duplicate	placeholder	baseline_issue	HF2_disposition
NAV-BRAND	primary rail	information	LocalComet	LocalComet	LocalComet	LocalCometLogo	none	application identity	always	not interactive	yes	no	no	none	retain
NAV-CHAT	primary rail	button	Чат	Chat	localized	chat	openChat	open chat workspace	always	native button plus Enter/Space	yes	no	no	none	retain
NAV-SETTINGS	primary rail	button	Настройки	Settings	localized	settings	openSettings	open Settings drawer	always	native button plus Enter/Space	yes	no	no	custom icon resembles brightness	correct to recognizable local gear
SIDEBAR-COLLAPSE	thread sidebar	button	Свернуть/развернуть боковую панель	Collapse/expand sidebar	localized	collapse/expand	inline store update	toggle sidebar	always	native button	yes	yes	no	duplicates header toggle on desktop	retain as desktop control
SIDEBAR-PINNED	thread sidebar	information	LocalComet	LocalComet	section accessible name	none	none	show current local-chat identity	always	not interactive	yes	no	no	version/build and developer labels duplicate About	hide redundant labels
SIDEBAR-LOCAL-CHAT	thread sidebar	button	Новый чат	New chat	accessible text	none	setSelectedConversation	select local chat	always	native button	yes	no	no	default selected ID does not match item	fix default ID and retain
SIDEBAR-CANCEL-DEMO	thread sidebar	button	Демо отмены	Cancellation demo	accessible text	none	setSelectedConversation	select fixture row	always	native button	no	no	yes	test fixture rendered in production	hide from production; preserve fixture
HEADER-SIDEBAR	top chat toolbar	button	Toggle session sidebar	Toggle session sidebar	hard-coded English	menu	inline store update	toggle sidebar	always	native button	yes	yes	no	duplicate on desktop and not localized	show only narrow layout and localize
HEADER-CONNECT-MODEL	model status area	button	Подключить модель	Connect model	visible text	link	openModelSetup	open existing model drawer	model not ready	native button	yes	no	no	none	retain
HEADER-DIAGNOSTICS	top chat toolbar	button	Toggle Diagnostics	Toggle Diagnostics	hard-coded English	inspector	setDiagnosticsPanelOpen	toggle diagnostics drawer	always	native button	yes	no	no	not localized	localize name and tooltip
STATUS-CONTROL-PLANE	title bar	status	Control Plane state	Control Plane state	none	none	derived bridge state	show current state	not interactive	yes	no	no	Russian UI uses English status	localize; retain separate status
STATUS-MODEL	top chat toolbar	status	Модель	Model	none	none	derived model/request state	show readiness or generation	always	not interactive	yes	no	no	none	retain
STATUS-RUNTIME	top chat toolbar	status	Среда	Runtime	identity tooltip	none	derived runtime state	show runtime ready/model identity	model ready	not interactive	yes	no	no	none	retain
TRANSCRIPT-SCROLL	transcript	region	История сообщений	Message history	localized	none	handleTranscriptKeydown	scroll transcript	always	PageUp/PageDown/Home/End	yes	no	no	none	retain
CHAT-RETRY	transcript	button	Повторить	Retry	visible text	none	retryLocalModelTurn	retry failed/cancelled turn	terminal retryable and model ready	native button	yes	no	no	none	retain
KNOWLEDGE-TOGGLE	Project Knowledge	row/switch	Знания проекта	Project Knowledge	localized	none	setProjectKnowledgeEnabled	enable preview flow	not locked	native switch	conditionally	no	no	production source selection/authority absent; enabled state misleading	replace with static unavailable status and explanation
KNOWLEDGE-PREVIEW-ACTIONS	Project Knowledge	conditional buttons	include/send without/cancel/retry	include/send without/cancel/retry	localized	none	knowledge decision handlers	preview/decision flow	after enabled preview	native buttons	not production-capable	no	no	unreachable success without configured external source	remove from production composer wiring; preserve pipeline/tests
COMPOSER-TOOLS	composer	button	Инструменты пока недоступны	Tools not yet available	localized	tool	none	none	always disabled	native button	no	no	yes	visible unavailable placeholder	hide from production
COMPOSER-TEXT	composer	textarea	Введите сообщение	Type a message	localized	none	setComposerDraft	edit prompt	model ready and not generating	typing; Shift+Enter newline; Enter send	yes	no	no	none	retain
COMPOSER-SEND	composer	button	Отправить/Стоп	Send/Stop	visible text	send/stop	send	start turn or cancel active turn	truthful lifecycle	native button	yes	no	no	none	retain
COMPOSER-METRICS	composer	information	raw lifecycle/chunks/timing	raw lifecycle/chunks/timing	none	none	none	debug telemetry	request exists	not interactive	yes	no	no	raw internal lifecycle shown in normal UI	hide; diagnostics retains telemetry
SETTINGS-CLOSE	Settings	button	Закрыть	Close	localized	cancel	onClose	close drawer	always	native button and Escape	yes	no	no	none	retain
SETTINGS-THEME	Settings	button group	Системная/Светлая/Тёмная	System/Light/Dark	localized	system/sun/moon	setThemeMode	change persisted theme	always	native buttons	yes	no	no	none	retain
SETTINGS-LOCALE	Settings	button group	Русский/Английский	Russian/English	localized	none	setLocale	change persisted locale	always	native buttons	yes	no	no	none	retain
SETTINGS-DIAGNOSTICS	Settings	button	Показать/скрыть диагностику	Show/hide diagnostics	visible text	inspector	setDiagnosticsPanelOpen	toggle persisted diagnostics visibility	always	native button	yes	no	no	none	retain
MODEL-BACKDROP	model drawer	button	Закрыть	Close	localized	none	onClose	close drawer	always	native button	yes	no	no	none	retain
MODEL-CLOSE	model drawer	button	Закрыть	Close	localized	cancel	onClose	close drawer	always	native button and Escape	yes	no	no	none	retain
MODEL-TABS	model drawer	tabs	Внешняя/Управляемая	External/Managed	localized	none	modelSetupMode.set	switch actual configuration panels	always	native buttons	yes	no	no	none	retain
MODEL-EXTERNAL-ACTIONS	model drawer	input/buttons	Проверить сервер/Найти модели/Подключить	Check server/Find models/Connect	localized	refresh/search/link	model gateway handlers	probe/discover/bind existing local endpoint	valid port and idle	native form controls	yes	no	no	none	retain
MODEL-MANAGED-ACTIONS	model drawer	buttons/selects	Обновить/Запустить/Остановить/Подключить	Refresh/Start/Stop/Connect	localized	refresh/play/stop/link	managed runtime handlers	validate/start/stop/select/bind approved local artifacts	state-dependent	native form controls	yes	no	no	none	retain
MODEL-INSTALL-PLACEHOLDER	model drawer	button	Установка недоступна	Installation unavailable	visible text	none	none	none	always disabled	native button	no	no	yes	no installer/download authority	hide button; retain truthful explanatory text
DIAG-CLOSE	Diagnostics	button	Закрыть	Close	localized	cancel	onClose	close diagnostics	always	native button	yes	no	no	none	retain
DIAG-TABS	Diagnostics	tabs	Обзор/Телеметрия/События/Политика/Проверка	Overview/Telemetry/Events/Policy/Verification	localized	none	setActiveInspectorSection	changes selected styling only	always	native buttons	no	no	yes	all sections remain visible; tab action is misleading	hide no-op tabs; retain useful diagnostics sections
DIAG-DEMO-START	Diagnostics	button	Запустить демо	Start demo	localized	none	startCancellationDemo	run test fixture	bridge ready	native button	no	no	yes	acceptance fixture visible in production	hide from production; preserve fixture code/tests
DIAG-DEMO-CANCEL	Diagnostics	button	Отменить демо	Cancel demo	localized	none	cancelCurrentDemoTurn	cancel test fixture	mock turn running	native button	no	no	yes	acceptance fixture visible in production	hide from production; preserve fixture code/tests
